ID,Title,Project_team,Affiliation,Affiliation_PI_short,Year,Grant,Status,Abstract,Keywords,Related Publications,Replication Materials,List of CBS datasets used
19MAG001,Gene-environment interplay in education: the impact of school quality and tracking,Antonie Knigge; Kim Stienstra; Ineke Maas,,UU - FSW,2019,MAG,,"Perceptions of neighbourhood conditions – no matter how accurate or biased – can have real consequences for neighbourhoods and individuals, and might even be more important than the objective characteristics. This study investigates how important these neighbourhood perceptions are for understanding individual outcomes (i.a. trust, inter-ethnic attitudes, unsafety feelings), and will provide insight in how these perceptions are shaped. Understanding the impact of perceptions can help to design better policies, which are often based on objectively measured characteristics of residential environments. The LISS panel data will be linked to the CBS microdata to construct objective neighbourhood characteristics for all panel members at multiple geographical scales. ",,,,
19MAG002,Determinants of Civic versus Economic Outcomes of Dutch Secondary Education,Hester Mennes,,UvA - Faculteit der Maatschappij en Gedragswetenschappen,2019,MAG,,"After the World Health Organization called for a broader approach to mental health, well-being has become increasingly important in the field of mental health, both in research and in practice. Good measurement instruments are needed to routinely monitor the well-being of clients. The Mental Health Continuum – Short Form (MHC-SF) has been validated in population studies, but in mental health practice clients experience a number of problems when filling out the items regarding the response format, formulations and relevance of the items. This proposal aims to validate a revised version of the instrument. We experiment with the different versions, assess the psychometric properties of the revised scale, and use innovative ways to compare scores on the old and new version. Furthermore, we compare the results to a population study carried out in the LISS panel ten years ago as well as to a study carried out in clinical practice. The study will result in a new instrument that can be used in research and practice.  ",,,,
19MAG003,The effect of mergers on market power: large scale evidence from the Netherlands,Leonard Treuren,,UvA - Faculteit Economie en Bedrijfskunde,2019,MAG,,,,,,
19MAG004,Suicidal acts in the Dutch context,Katya Ivanova,,UvA - FMG,2019,MAG,,,,,,
19MAG005,Utilizing a natural experiment to investigate the effect of educational failure on mental health,Perline Demange,,VU - FGB,2019,MAG,,,,http://biorxiv.org/lookup/doi/10.1101/2020.09.15.296236,,
20MAG001,Do neighbourhoods affect health? Disentangling selection and causation,Joost Oude Groeniger; Nienke Boderie;  Hans van Kippersluis,Erasmus Universiteit Rotterdam (EUR) - Erasmus School of Social and Behavioural Sciences,EUR-ESSB,2020,MAG,,"The Participation Act was introduced on the 1th of January 2015, in order to create a more inclusive labor market in The Netherlands. The actual execution of the Act is decentralized. Municipalities are responsible for encouraging firms to create labor opportunities for vulnerable groups. Municipalities adopt different mean and instruments to do so, consequently there exist a variety of municipal policies (Sociaal en Cultureel Planbureau, 2019). Currently, there is no public readily available CBS data on the 'inclusiveness' of firms among municipalities, which makes it hard to assess the effectiveness of municipal policies and derive best practices. However, this data is key, in exploring why one municipal policy is more effective in stumulating inclusion of vulnerable grous, than another. Specifically, this study aims to answer the following research question: ""Which/ what factors underlying differences in municipal inclusive policies explain differences in inclusion rates of vulnerable groups among firms?"". We develop and test a theoretical model of how differences in municipal policies and their effects come about by connecting institutional- with policy diffusion theory. Empirically we aim to examine inclusive behavior of firms among all 380 municipalities in The Netherlands among the period between 2014 and 2019. We will use a variety of methods including machine learning. We intend to make several contributions to theory and practice- i.e. by showing how content of policies come about and effect inclusiveness. ",,,,
20MAG002,Breaking the barrier? The effects of the National Program Rotterdam South on educational mobility,Gijs Custers,Erasmus Universiteit Rotterdam (EUR) - Erasmus School of Social and Behavioural Sciences,EUR-ESSB,2020,MAG,,"In this project, we plan to document a set of new facts about the income risk that Dutch households are exposed to and to study its effects on their portfolio choice and savings behavior. We focus in particular on the heterogeneous exposure to aggregate conditions of household income. We call this systematic income risk (or worker beta). We document how systematic income risk varies across age groups, gender, recent earnings and occupation. Next, we study how systematic income risk is related to household portfolio choice, and how it affects the riskiness and liquidity of household portfolios.",,,,
20MAG003,From inside prison to a prison outside: Re-integration and recidivism during the corona-crisis,Elanie Rodermond,Nederlands Studiecentrum Criminaliteit en Rechtshandhaving (NSCR),NSCR,2020,MAG,,"Over the last 50 years, macro-economic changes have resulted in the emergence and proliferation of new working conditions. This ‘New Work’ is characterized by an increase in the share of workers with temporary contracts, self-employment with no personnel (ZZP'er), part-time work and non-standard work hours, remote working, and complex work histories. The consequences of New Work for the family life chances of young adults have largely been overlooked and understudied. This project explores the relationship between experiences of New Work and subsequent union formation, childbearing, and union dissolution. Combining detailed data on working conditions from the Dutch Labor Force Survey (Enquête beroepsbevolking, EBB) and administrative register data, I will identify New Workers and follow them prospectively, observing their family-life-course dynamics. I will unravel the complex relationship between New Work and family life chances, exploring critical ages when exposure to New Work may be helpful or harmful for family building and stability. With survey and administrative data since 1996, I will identify stability and change in the consequences of New Work, from a time when it was marginal until today, when it is increasingly commonplace. Documenting and extrapolating from trends in the family outcomes of New Workers will provide insights into what the future might hold, also for those experiencing New Work for the first time as a result of the current Covid-19 crisis.",,,,
20MAG004,Does the lack of collateral prevent the creation and growth of small businesses?,Daniel Karpati,Tilburg University (TiU) - Tilburg School of Economics and Management,TiSEM,2020,MAG,,"Scientific interest in suicidal acts (attempted and completed suicides) spans a wide range of disciplines from epidemiology, through economics, psychology, and unquestionably – sociology. Though theoretically well-informed, one of the leading challenges in the study of suicidal acts has unquestionably been methodological, namely, the availability of high-quality, individual-level data. The goal of this project is two-fold: first, to present a clear descriptive analysis of the age, period, and cohort trends in suicidal acts (successful and attempted suicides) for Dutch men and women. This is an essential step for two reasons: 1) it allows to better understand the magnitude of the potential societal problem and 2) it facilitates the subsequent theorizing about the possible causes of changes in patterns of suicidal behaviours for specific groups of individuals. Second, I will focus on socioeconomic and family-related drivers of suicidal behaviours of Dutch men and women. When studying potential socioeconomic differentials in suicidal behaviours, one of the key questions will be whether an individual’s own resources act as a protective factor against suicidal acts or whether it is that individual’s position, relative-to-others, that matters. In the study of the importance of uninterrupted family ties, specific attention will be paid to the potential weakening over time of the buffering role which partnerships might play against suicidal acts.",,https://papers.ssrn.com/abstract=3772659,,
20MAG005,The 30%-rule for expats: impact on immigration and wages,Massimo Giuliodori,Universiteit van Amsterdam (UvA) - Faculteit Economie en Bedrijfskunde,UvA-FEB,2020,MAG,,"Dutch children with similar IQ are twice as likely to attain higher education when their parents are highly educated compared to when parents are lower educated. The magnitude of such unequal opportunities is thought to depend on characteristics of the school environment, such as school quality and the way children are tracked into different educational levels. However, testing these claims is problematic with conventional sociological methods, because it is difficult to measure to what extent educational outcomes depend on “family background” rather than “ability”. This project takes a different approach and applies twin methods to administrative data available through Statistics Netherlands (CBS) to investigate the interplay between genes, family background, and school characteristics. Twin methods allow to disentangle genetic from environmental influences and investigate the interaction between them. The CBS administrative data have notable advantages over twin samples because of their size, representativeness and coverage. This design will therefore greatly improve our understanding of the causal mechanisms underlying educational inequality. We assess the potential effectiveness of proposed Dutch educational reforms by measuring the school characteristics targeted by these reforms (i.e., school quality, standardization of tracking). Results will directly feed into policymakers because of a close collaboration with the Inspectorate of Education.",,,,
